Date,Name / Description,Account,Counterparty,Code,Debit/credit,Amount (PLN),Transaction type,Notifications
2024-12-29,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,11006.0,Salary,
2024-07-03,US Bemowo,PL45116022020000000478251704,US Bemowo,,D,551.41,Tax,
2025-03-31,Żabka,PL45116022020000000478251704,Żabka,,D,386.52,Groceries,
2025-05-06,PGNiG,PL45116022020000000478251704,PGNiG,,D,447.88,Utilities,
2024-07-17,Żabka,PL45116022020000000478251704,Żabka,,D,55.49,Groceries,
2024-11-05,Compensa,PL45116022020000000478251704,Compensa,,D,184.58,Insurance,
2024-08-03,Veolia,PL45116022020000000478251704,Veolia,,D,479.88,Utilities,
2024-07-30,Lidl,PL45116022020000000478251704,Lidl,,D,530.17,Groceries,
2025-03-20,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,14566.5,Salary,
2025-03-06,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,5870.43,Salary,
2024-08-15,Biedronka,PL45116022020000000478251704,Biedronka,,D,207.68,Groceries,
2025-06-03,Compensa,PL45116022020000000478251704,Compensa,,D,392.58,Insurance,
2024-11-06,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,14604.72,Salary,
2025-02-22,Veolia,PL45116022020000000478251704,Veolia,,D,170.04,Utilities,
2024-08-31,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,10426.54,Salary,
2025-02-20,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,6731.75,Salary,
2024-12-31,Warta,PL45116022020000000478251704,Warta,,D,108.45,Insurance,
2025-05-20,Spotify,PL45116022020000000478251704,Spotify,,D,45.94,Entertainment,
2025-03-14,PZU,PL45116022020000000478251704,PZU,,D,480.62,Insurance,
2024-08-11,Allegro.pl,PL45116022020000000478251704,Allegro.pl,,D,370.89,Entertainment,
2024-08-04,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2025-06-02,Warta,PL45116022020000000478251704,Warta,,D,511.34,Insurance,
2025-01-17,PGNiG,PL45116022020000000478251704,PGNiG,,D,147.31,Utilities,
2025-04-05,Veolia,PL45116022020000000478251704,Veolia,,D,239.83,Utilities,
2024-08-19,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,12965.56,Salary,
2025-05-26,PKP Intercity,PL45116022020000000478251704,PKP Intercity,,D,323.93,Transport,
2025-06-17,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2024-09-12,Żabka,PL45116022020000000478251704,Żabka,,D,305.92,Groceries,
2024-11-02,UPC,PL45116022020000000478251704,UPC,,D,513.05,Utilities,
2025-06-01,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2025-02-01,Veolia,PL45116022020000000478251704,Veolia,,D,313.49,Utilities,
2024-08-21,Veolia,PL45116022020000000478251704,Veolia,,D,104.56,Utilities,
2025-01-28,Allegro.pl,PL45116022020000000478251704,Allegro.pl,,D,408.64,Entertainment,
2024-11-12,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2025-03-04,McDonald's,PL45116022020000000478251704,McDonald's,,D,459.68,Dining,
2024-11-22,ZTM Warsaw,PL45116022020000000478251704,ZTM Warsaw,,D,388.24,Transport,
2025-03-06,McDonald's,PL45116022020000000478251704,McDonald's,,D,505.05,Dining,
2024-08-09,Biedronka,PL45116022020000000478251704,Biedronka,,D,370.02,Groceries,
2024-08-29,Local Bistro,PL45116022020000000478251704,Local Bistro,,D,495.1,Dining,
2025-01-09,PKO BP ATM,PL45116022020000000478251704,PKO BP ATM,,D,500.0,ATM Withdrawl,
2025-06-22,Allegro.pl,PL45116022020000000478251704,Allegro.pl,,D,96.43,Entertainment,
2025-02-08,PKP Intercity,PL45116022020000000478251704,PKP Intercity,,D,184.23,Transport,
2024-12-13,ING Branch,PL45116022020000000478251704,ING Branch,,C,1549.47,Cash Deposit,
2024-08-08,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,15378.9,Salary,
2024-09-14,Bolt,PL45116022020000000478251704,Bolt,,D,527.72,Transport,
2024-12-17,US Bemowo,PL45116022020000000478251704,US Bemowo,,D,574.73,Tax,
2025-02-21,Compensa,PL45116022020000000478251704,Compensa,,D,372.37,Insurance,
2024-10-25,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,5808.13,Salary,
2024-09-22,Bolt,PL45116022020000000478251704,Bolt,,D,479.74,Transport,
2024-08-26,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,6132.36,Salary,
2024-08-12,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2024-10-21,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2024-09-18,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,5709.53,Salary,
2025-05-24,KFC,PL45116022020000000478251704,KFC,,D,168.18,Dining,
2024-07-10,PKO BP ATM,PL45116022020000000478251704,PKO BP ATM,,D,300.0,ATM Withdrawl,
2024-09-16,Lidl,PL45116022020000000478251704,Lidl,,D,433.53,Groceries,
2024-12-21,Euronet ATM,PL45116022020000000478251704,Euronet ATM,,D,300.0,ATM Withdrawl,
2025-05-12,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,14581.92,Salary,
2024-08-28,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,12376.55,Salary,
2024-08-22,Netia,PL45116022020000000478251704,Netia,,D,525.28,Utilities,
2024-09-20,US Bemowo,PL45116022020000000478251704,US Bemowo,,D,268.47,Tax,
2024-07-12,PKP Intercity,PL45116022020000000478251704,PKP Intercity,,D,422.52,Transport,
2024-10-20,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,15724.69,Salary,
2025-01-31,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,15475.22,Salary,
2025-02-03,Biedronka,PL45116022020000000478251704,Biedronka,,D,169.46,Groceries,
2024-11-17,Lidl,PL45116022020000000478251704,Lidl,,D,65.88,Groceries,
2024-08-30,Żabka,PL45116022020000000478251704,Żabka,,D,501.0,Groceries,
2025-04-23,Żabka,PL45116022020000000478251704,Żabka,,D,482.17,Groceries,
2025-04-01,Lidl,PL45116022020000000478251704,Lidl,,D,201.98,Groceries,
2025-01-16,Żabka,PL45116022020000000478251704,Żabka,,D,279.26,Groceries,
2025-05-04,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2024-08-11,PKO BP Branch,PL45116022020000000478251704,PKO BP Branch,,C,1561.33,Cash Deposit,
2025-04-13,ING Branch,PL45116022020000000478251704,ING Branch,,C,1025.33,Cash Deposit,
2024-07-23,UPC,PL45116022020000000478251704,UPC,,D,531.0,Utilities,
2024-10-29,UPC,PL45116022020000000478251704,UPC,,D,157.97,Utilities,
2024-07-16,Biedronka,PL45116022020000000478251704,Biedronka,,D,473.91,Groceries,
2024-08-05,Local Bistro,PL45116022020000000478251704,Local Bistro,,D,46.35,Dining,
2025-02-01,Bolt,PL45116022020000000478251704,Bolt,,D,253.78,Transport,
2024-10-25,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2025-01-10,Biedronka,PL45116022020000000478251704,Biedronka,,D,68.58,Groceries,
2025-04-18,UPC,PL45116022020000000478251704,UPC,,D,468.84,Utilities,
2024-08-19,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,8190.83,Salary,
2024-10-21,Bolt,PL45116022020000000478251704,Bolt,,D,393.03,Transport,
2025-04-06,PGNiG,PL45116022020000000478251704,PGNiG,,D,163.51,Utilities,
2025-02-14,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,5275.88,Salary,
2025-04-11,Uber,PL45116022020000000478251704,Uber,,D,279.93,Transport,
2025-05-17,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2024-10-02,ZTM Warsaw,PL45116022020000000478251704,ZTM Warsaw,,D,295.97,Transport,
2025-04-06,Veolia,PL45116022020000000478251704,Veolia,,D,454.81,Utilities,
2024-11-30,Lidl,PL45116022020000000478251704,Lidl,,D,379.66,Groceries,
2025-06-26,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,12269.61,Salary,
2024-09-01,ZTM Warsaw,PL45116022020000000478251704,ZTM Warsaw,,D,249.96,Transport,
2024-12-16,Netia,PL45116022020000000478251704,Netia,,D,388.2,Utilities,
2024-08-05,Biedronka,PL45116022020000000478251704,Biedronka,,D,548.62,Groceries,
2025-05-08,Compensa,PL45116022020000000478251704,Compensa,,D,573.66,Insurance,
2024-10-23,UPC,PL45116022020000000478251704,UPC,,D,421.96,Utilities,
2025-04-05,Netflix,PL45116022020000000478251704,Netflix,,D,182.08,Entertainment,
2024-09-13,Żabka,PL45116022020000000478251704,Żabka,,D,236.75,Groceries,
2024-10-02,Pizza Hut,PL45116022020000000478251704,Pizza Hut,,D,333.06,Dining,
2024-12-23,Warta,PL45116022020000000478251704,Warta,,D,200.73,Insurance,
2024-07-26,Żabka,PL45116022020000000478251704,Żabka,,D,67.74,Groceries,
2024-11-08,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,10320.83,Salary,
2024-08-23,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2025-01-29,PZU,PL45116022020000000478251704,PZU,,D,260.39,Insurance,
2025-01-16,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,13347.23,Salary,
2025-03-19,PGNiG,PL45116022020000000478251704,PGNiG,,D,462.54,Utilities,
2024-08-26,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,13571.45,Salary,
2025-01-30,KFC,PL45116022020000000478251704,KFC,,D,202.97,Dining,
2024-10-17,Lidl,PL45116022020000000478251704,Lidl,,D,587.59,Groceries,
2025-05-03,Pizza Hut,PL45116022020000000478251704,Pizza Hut,,D,63.3,Dining,
2025-03-31,Pizza Hut,PL45116022020000000478251704,Pizza Hut,,D,353.83,Dining,
2025-05-04,Empik,PL45116022020000000478251704,Empik,,D,440.63,Entertainment,
2025-03-24,PZU,PL45116022020000000478251704,PZU,,D,538.43,Insurance,
2025-05-03,ZUS,PL45116022020000000478251704,ZUS,,D,201.79,Tax,
2024-11-03,Local Bistro,PL45116022020000000478251704,Local Bistro,,D,287.62,Dining,
2025-01-28,Żabka,PL45116022020000000478251704,Żabka,,D,386.2,Groceries,
2025-01-21,Spotify,PL45116022020000000478251704,Spotify,,D,165.98,Entertainment,
2025-04-18,PKP Intercity,PL45116022020000000478251704,PKP Intercity,,D,249.42,Transport,
2024-07-28,KFC,PL45116022020000000478251704,KFC,,D,145.62,Dining,
2024-11-30,Żabka,PL45116022020000000478251704,Żabka,,D,345.31,Groceries,
2024-11-01,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,7951.46,Salary,
2025-02-19,Local Bistro,PL45116022020000000478251704,Local Bistro,,D,231.38,Dining,
2025-06-04,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,7283.2,Salary,
2025-06-03,Uber,PL45116022020000000478251704,Uber,,D,246.94,Transport,
2024-10-04,Pizza Hut,PL45116022020000000478251704,Pizza Hut,,D,156.53,Dining,
2025-04-08,PKP Intercity,PL45116022020000000478251704,PKP Intercity,,D,125.79,Transport,
2024-08-14,Biedronka,PL45116022020000000478251704,Biedronka,,D,30.36,Groceries,
2025-01-15,ING Branch,PL45116022020000000478251704,ING Branch,,C,542.7,Cash Deposit,
2024-12-01,ING Branch,PL45116022020000000478251704,ING Branch,,C,1813.31,Cash Deposit,
2024-07-16,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,14229.38,Salary,
2025-05-05,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,5730.45,Salary,
2025-04-16,Pizza Hut,PL45116022020000000478251704,Pizza Hut,,D,380.42,Dining,
2025-01-16,Lidl,PL45116022020000000478251704,Lidl,,D,272.9,Groceries,
2024-09-16,Bolt,PL45116022020000000478251704,Bolt,,D,326.8,Transport,
2024-12-19,Veolia,PL45116022020000000478251704,Veolia,,D,164.14,Utilities,
2024-08-15,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2025-05-08,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2025-05-13,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,5221.52,Salary,
2025-06-19,Local Bistro,PL45116022020000000478251704,Local Bistro,,D,168.88,Dining,
2024-07-01,Biedronka,PL45116022020000000478251704,Biedronka,,D,234.94,Groceries,
2024-08-06,Bolt,PL45116022020000000478251704,Bolt,,D,95.64,Transport,
2025-03-02,Biedronka,PL45116022020000000478251704,Biedronka,,D,407.77,Groceries,
2024-11-16,Spotify,PL45116022020000000478251704,Spotify,,D,377.8,Entertainment,
2025-05-21,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2025-03-15,Lidl,PL45116022020000000478251704,Lidl,,D,46.38,Groceries,
2024-11-22,Veolia,PL45116022020000000478251704,Veolia,,D,196.94,Utilities,
2025-04-16,Allegro.pl,PL45116022020000000478251704,Allegro.pl,,D,204.92,Entertainment,
2025-05-20,Local Bistro,PL45116022020000000478251704,Local Bistro,,D,594.72,Dining,
2024-11-22,Pizza Hut,PL45116022020000000478251704,Pizza Hut,,D,510.25,Dining,
2025-02-20,Empik,PL45116022020000000478251704,Empik,,D,84.71,Entertainment,
2024-10-11,Żabka,PL45116022020000000478251704,Żabka,,D,371.15,Groceries,
2024-08-26,Lidl,PL45116022020000000478251704,Lidl,,D,571.45,Groceries,
2025-06-25,Veolia,PL45116022020000000478251704,Veolia,,D,215.91,Utilities,
2025-02-15,UPC,PL45116022020000000478251704,UPC,,D,378.35,Utilities,
2024-11-16,PKP Intercity,PL45116022020000000478251704,PKP Intercity,,D,128.51,Transport,
2025-02-22,Spotify,PL45116022020000000478251704,Spotify,,D,537.0,Entertainment,
2024-07-23,McDonald's,PL45116022020000000478251704,McDonald's,,D,277.41,Dining,
2025-04-26,Żabka,PL45116022020000000478251704,Żabka,,D,466.87,Groceries,
2024-07-17,KFC,PL45116022020000000478251704,KFC,,D,400.34,Dining,
2025-06-20,PZU,PL45116022020000000478251704,PZU,,D,223.69,Insurance,
2025-01-11,Uber,PL45116022020000000478251704,Uber,,D,95.93,Transport,
2024-08-18,Biedronka,PL45116022020000000478251704,Biedronka,,D,243.18,Groceries,
2024-08-16,Pizza Hut,PL45116022020000000478251704,Pizza Hut,,D,496.64,Dining,
2024-07-10,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,10316.91,Salary,
2025-06-18,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2025-01-11,KFC,PL45116022020000000478251704,KFC,,D,459.67,Dining,
2024-10-21,Żabka,PL45116022020000000478251704,Żabka,,D,579.43,Groceries,
2025-01-20,Warta,PL45116022020000000478251704,Warta,,D,527.71,Insurance,
2024-09-08,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,15080.67,Salary,
2024-09-25,Żabka,PL45116022020000000478251704,Żabka,,D,243.51,Groceries,
2025-06-14,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,10103.66,Salary,
2024-11-03,PKP Intercity,PL45116022020000000478251704,PKP Intercity,,D,317.46,Transport,
2024-06-27,UPC,PL45116022020000000478251704,UPC,,D,133.91,Utilities,
2025-05-15,PKP Intercity,PL45116022020000000478251704,PKP Intercity,,D,130.07,Transport,
2024-09-26,Veolia,PL45116022020000000478251704,Veolia,,D,593.02,Utilities,
2024-11-30,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,5175.01,Salary,
2025-01-07,KFC,PL45116022020000000478251704,KFC,,D,73.83,Dining,
2024-08-13,Pizza Hut,PL45116022020000000478251704,Pizza Hut,,D,398.43,Dining,
2025-01-07,ZUS,PL45116022020000000478251704,ZUS,,D,417.24,Tax,
2025-02-20,Compensa,PL45116022020000000478251704,Compensa,,D,253.03,Insurance,
2024-11-15,US Bemowo,PL45116022020000000478251704,US Bemowo,,D,490.71,Tax,
2025-03-14,Empik,PL45116022020000000478251704,Empik,,D,203.4,Entertainment,
2025-05-30,McDonald's,PL45116022020000000478251704,McDonald's,,D,369.03,Dining,
2025-03-24,Żabka,PL45116022020000000478251704,Żabka,,D,145.39,Groceries,
2025-01-13,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,9911.32,Salary,
2025-05-05,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,12101.59,Salary,
2024-10-23,Netia,PL45116022020000000478251704,Netia,,D,461.01,Utilities,
2024-09-25,PKO BP Branch,PL45116022020000000478251704,PKO BP Branch,,C,1419.45,Cash Deposit,
2025-06-07,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2025-05-15,Allegro.pl,PL45116022020000000478251704,Allegro.pl,,D,491.21,Entertainment,
2024-10-16,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,9776.88,Salary,
2025-03-23,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,11111.76,Salary,
2025-01-06,Żabka,PL45116022020000000478251704,Żabka,,D,477.64,Groceries,
2025-01-24,Allegro.pl,PL45116022020000000478251704,Allegro.pl,,D,536.96,Entertainment,
2025-06-02,KFC,PL45116022020000000478251704,KFC,,D,337.72,Dining,
2024-07-12,McDonald's,PL45116022020000000478251704,McDonald's,,D,324.46,Dining,
2024-09-17,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,13825.55,Salary,
2025-04-26,KFC,PL45116022020000000478251704,KFC,,D,313.06,Dining,
2024-11-27,Spotify,PL45116022020000000478251704,Spotify,,D,382.99,Entertainment,
2025-04-02,Veolia,PL45116022020000000478251704,Veolia,,D,260.58,Utilities,
2025-06-04,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,12209.34,Salary,
2024-12-20,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2025-01-07,ZTM Warsaw,PL45116022020000000478251704,ZTM Warsaw,,D,120.07,Transport,
2024-12-22,Lidl,PL45116022020000000478251704,Lidl,,D,138.79,Groceries,
2024-11-22,PKP Intercity,PL45116022020000000478251704,PKP Intercity,,D,78.36,Transport,
2025-04-12,Local Bistro,PL45116022020000000478251704,Local Bistro,,D,441.55,Dining,
2025-05-18,ZTM Warsaw,PL45116022020000000478251704,ZTM Warsaw,,D,377.36,Transport,
2025-05-17,Bolt,PL45116022020000000478251704,Bolt,,D,505.39,Transport,
2024-10-14,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,11876.05,Salary,
2024-11-07,McDonald's,PL45116022020000000478251704,McDonald's,,D,30.03,Dining,
2024-08-28,Biedronka,PL45116022020000000478251704,Biedronka,,D,346.88,Groceries,
2024-12-05,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2024-12-25,Netflix,PL45116022020000000478251704,Netflix,,D,307.97,Entertainment,
2024-08-23,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,12226.64,Salary,
2024-10-23,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,14454.68,Salary,
2024-07-28,Compensa,PL45116022020000000478251704,Compensa,,D,150.55,Insurance,
2024-11-07,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,9572.94,Salary,
2025-03-06,PGNiG,PL45116022020000000478251704,PGNiG,,D,169.12,Utilities,
2025-05-03,Lidl,PL45116022020000000478251704,Lidl,,D,196.32,Groceries,
2024-11-15,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,5809.03,Salary,
2024-06-28,McDonald's,PL45116022020000000478251704,McDonald's,,D,272.89,Dining,
2025-06-01,Pizza Hut,PL45116022020000000478251704,Pizza Hut,,D,428.89,Dining,
2025-04-18,ZTM Warsaw,PL45116022020000000478251704,ZTM Warsaw,,D,275.57,Transport,
2025-05-04,Lidl,PL45116022020000000478251704,Lidl,,D,122.87,Groceries,
2024-11-28,McDonald's,PL45116022020000000478251704,McDonald's,,D,578.44,Dining,
2024-10-31,Żabka,PL45116022020000000478251704,Żabka,,D,89.59,Groceries,
2025-01-13,PKO BP ATM,PL45116022020000000478251704,PKO BP ATM,,D,500.0,ATM Withdrawl,
2024-12-14,Bolt,PL45116022020000000478251704,Bolt,,D,360.14,Transport,
2024-11-21,Żabka,PL45116022020000000478251704,Żabka,,D,168.16,Groceries,
2025-04-16,Biedronka,PL45116022020000000478251704,Biedronka,,D,348.22,Groceries,
2025-06-23,Euronet ATM,PL45116022020000000478251704,Euronet ATM,,D,300.0,ATM Withdrawl,
2024-11-07,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,6520.63,Salary,
2025-05-08,Warta,PL45116022020000000478251704,Warta,,D,47.29,Insurance,
2025-01-11,ZTM Warsaw,PL45116022020000000478251704,ZTM Warsaw,,D,416.25,Transport,
2025-03-12,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2025-01-31,Allegro.pl,PL45116022020000000478251704,Allegro.pl,,D,340.78,Entertainment,
2024-08-04,Bolt,PL45116022020000000478251704,Bolt,,D,243.23,Transport,
2024-09-20,PKP Intercity,PL45116022020000000478251704,PKP Intercity,,D,115.77,Transport,
2024-10-19,Biedronka,PL45116022020000000478251704,Biedronka,,D,481.05,Groceries,
2025-06-24,ZTM Warsaw,PL45116022020000000478251704,ZTM Warsaw,,D,96.58,Transport,
2024-10-09,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,14064.41,Salary,
2024-09-30,Netia,PL45116022020000000478251704,Netia,,D,565.56,Utilities,
2024-11-30,Veolia,PL45116022020000000478251704,Veolia,,D,72.07,Utilities,
2024-11-21,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,15232.72,Salary,
2024-10-28,Biedronka,PL45116022020000000478251704,Biedronka,,D,133.09,Groceries,
2024-10-16,Lidl,PL45116022020000000478251704,Lidl,,D,214.68,Groceries,
2025-06-08,Euronet ATM,PL45116022020000000478251704,Euronet ATM,,D,500.0,ATM Withdrawl,
2025-01-11,Lidl,PL45116022020000000478251704,Lidl,,D,156.03,Groceries,
2025-03-08,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,7010.96,Salary,
2024-07-19,McDonald's,PL45116022020000000478251704,McDonald's,,D,454.14,Dining,
2025-04-05,PKO BP Branch,PL45116022020000000478251704,PKO BP Branch,,C,1062.39,Cash Deposit,
2024-09-11,Żabka,PL45116022020000000478251704,Żabka,,D,468.4,Groceries,
2025-06-04,Allegro.pl,PL45116022020000000478251704,Allegro.pl,,D,437.39,Entertainment,
2024-11-02,Spotify,PL45116022020000000478251704,Spotify,,D,542.46,Entertainment,
2025-03-12,PZU,PL45116022020000000478251704,PZU,,D,596.69,Insurance,
2025-06-25,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,12234.66,Salary,
2025-01-01,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,8328.7,Salary,
2025-04-27,Żabka,PL45116022020000000478251704,Żabka,,D,124.28,Groceries,
2024-07-22,UPC,PL45116022020000000478251704,UPC,,D,300.23,Utilities,
2024-08-17,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,11656.33,Salary,
2024-10-29,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2025-02-22,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,8085.63,Salary,
